DJ_Name	Logo	Link 1	Link 2
Babdah	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\babdah.png	https://stream.vrcdn.live/live/babdah01.live.ts	
BLOO-D		https://www.twitch.tv/vvmpyre	
Brazen	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/Brazen_1.png	https://stream.vrcdn.live/live/rsmith0084.live.ts	https://www.twitch.tv/brazeneclipsevr
Bunny Lugosi	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/bunny_lugosi logo.png	https://www.twitch.tv/bunny_lugosi	
CyberBear	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/cyberbear_logo_no_background.png	https://www.twitch.tv/djcyberbear	
Dantalion	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\Dantalion_Logo_Placeholder.png	https://stream.vrcdn.live/live/dantalion.live.ts	https://www.twitch.tv/dantalionvr
DJ Dead Zed	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\DJ Dead Zed.png	https://www.twitch.tv/djdeadzed	
Flacula	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/flacula.png	https://www.twitch.tv/flaculavr	
Joyful Decay	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/joyful-decay-logo.png	https://www.twitch.tv/joyfuldecay	
La Rampage	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/La-Rampage.png	https://www.twitch.tv/itzlarampage	
Mikey The Maniac	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\mikey_the_maniac.png	https://stream.vrcdn.live/live/mikeythemaniac.live.ts	https://www.twitch.tv/mikeythemaniac
Mr Chop	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/mr chop.png	https://stream.vrcdn.live/live/misterchop.live.ts	https://www.twitch.tv/themisterchop
Nana	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\nana.png	https://stream.vrcdn.live/live/457dude.live.ts	rtspt://stream.vrcdn.live/live/457dude
Open Slot	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\_open_slot.png		
Rawada	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/rawada_logo_full.png	https://stream.vrcdn.live/live/inelegantdecay.live.ts	
Sab Nyamps	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\Sabidle.png	https://www.twitch.tv/sabnyamps	
Say Lay	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/saylay-logo-globe-transparent_-_Copy_-_Copy.png	https://www.twitch.tv/djsaylay	
Skulltek	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/skulltek.png	https://stream.vrcdn.live/live/skulltek.live.ts 	https://www.twitch.tv/djskulltek
Sophie	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/sophie_logo_red.png	https://stream.vrcdn.live/live/cryptidgarden.live.ts	https://www.twitch.tv/cryptidgarden
Tryptamise	D:/Sync/Spider Bytes/Graphic Design/Event Posters/_assets/DJ Logos/tryptamise-white-PNG-transparency.png	https://stream.vrcdn.live/live/tryptamise.live.ts	https://www.twitch.tv/tryptamise
Zetta	D:\Sync\Spider Bytes\Graphic Design\Event Posters\_assets\DJ Logos\Zetta.png		
